listing_datetime,unit_price,quantity,listings
"2019-03-03 00:04:40 UTC",17,130102,1414
"2019-03-02 23:30:05 UTC",18,129789,1411
"2019-03-02 22:34:20 UTC",16,129806,1413
"2019-03-02 21:44:38 UTC",17,129871,1411
"2019-03-02 20:47:13 UTC",18,129789,1409
"2019-03-02 20:14:33 UTC",18,129814,1409
"2019-03-02 18:57:21 UTC",19,129796,1408
"2019-03-02 18:23:51 UTC",19,129793,1406
"2019-03-02 17:34:24 UTC",18,129894,1405
"2019-03-02 16:42:20 UTC",19,129810,1400
"2019-03-02 15:48:01 UTC",19,129801,1398
"2019-03-02 15:14:34 UTC",18,130745,1403
"2019-03-02 13:59:54 UTC",18,130769,1401
"2019-03-02 13:25:55 UTC",18,130631,1400
"2019-03-02 12:33:03 UTC",16,130739,1408
"2019-03-02 11:40:50 UTC",16,130752,1407
"2019-03-02 10:47:18 UTC",16,130485,1406
"2019-03-02 10:14:52 UTC",17,130463,1403
"2019-03-02 09:06:48 UTC",19,130211,1397
"2019-03-02 08:32:52 UTC",19,130211,1397
"2019-03-02 07:36:40 UTC",18,130275,1402
"2019-03-02 06:44:40 UTC",18,130287,1402
"2019-03-02 05:46:00 UTC",19,130295,1401
"2019-03-02 05:13:15 UTC",19,130350,1401
"2019-03-02 03:57:25 UTC",18,130901,1403
"2019-03-02 03:22:08 UTC",18,130977,1403
"2019-03-02 02:25:56 UTC",18,130253,1400
"2019-03-02 01:32:07 UTC",17,129896,1399
"2019-03-02 00:38:07 UTC",17,129892,1400
"2019-03-02 00:05:39 UTC",18,129875,1398
"2019-03-01 22:47:21 UTC",18,129809,1398
"2019-03-01 22:14:17 UTC",19,129772,1397
"2019-03-01 21:21:15 UTC",19,129814,1396
"2019-03-01 20:30:55 UTC",19,129915,1395
"2019-03-01 19:31:17 UTC",19,129989,1394
"2019-03-01 18:59:48 UTC",20,129239,1391
"2019-03-01 17:45:19 UTC",20,129352,1392
"2019-03-01 17:10:02 UTC",20,129712,1392
"2019-03-01 16:18:31 UTC",20,129805,1392
"2019-03-01 15:25:02 UTC",18,130032,1392
"2019-03-01 14:31:34 UTC",18,129993,1394
"2019-03-01 13:59:15 UTC",20,130011,1392
"2019-03-01 12:43:15 UTC",20,130213,1392
"2019-03-01 12:10:21 UTC",20,130235,1394
"2019-03-01 11:18:37 UTC",19,130331,1396
"2019-03-01 10:27:23 UTC",20,130331,1396
"2019-03-01 09:33:08 UTC",20,130531,1401
"2019-03-01 09:01:46 UTC",19,130578,1403
"2019-03-01 07:52:17 UTC",18,130567,1405
"2019-03-01 07:17:57 UTC",18,130565,1404
"2019-03-01 06:23:04 UTC",20,130539,1401
"2019-03-01 05:31:07 UTC",20,130555,1400
"2019-03-01 04:37:46 UTC",20,130612,1400
"2019-03-01 04:05:19 UTC",20,130643,1401
"2019-03-01 02:50:26 UTC",20,130723,1400
"2019-03-01 02:16:19 UTC",17,130972,1402
"2019-03-01 01:24:42 UTC",20,131002,1400
"2019-03-01 00:33:34 UTC",19,131299,1413
"2019-02-28 23:39:22 UTC",19,131571,1415
"2019-02-28 23:07:59 UTC",19,131571,1415
"2019-02-28 21:51:18 UTC",18,131671,1417
"2019-02-28 21:15:47 UTC",18,131741,1417
"2019-02-28 20:16:09 UTC",19,131454,1415
"2019-02-28 19:22:36 UTC",17,129618,1409
"2019-02-28 18:24:53 UTC",19,129954,1407
"2019-02-28 17:50:40 UTC",18,130324,1418
"2019-02-28 16:32:26 UTC",17,130261,1418
"2019-02-28 15:56:43 UTC",19,130286,1416
"2019-02-28 15:04:57 UTC",19,130313,1417
"2019-02-28 14:13:47 UTC",17,130088,1416
"2019-02-28 13:16:48 UTC",17,130569,1429
"2019-02-28 12:44:00 UTC",18,130582,1426
"2019-02-28 11:27:20 UTC",18,130831,1426
"2019-02-28 10:54:21 UTC",17,130609,1425
"2019-02-28 09:59:00 UTC",18,130704,1424
"2019-02-28 09:06:08 UTC",19,130480,1421
"2019-02-28 08:05:14 UTC",19,130399,1420
"2019-02-28 07:33:54 UTC",16,130664,1425
"2019-02-28 06:28:50 UTC",17,130363,1422
"2019-02-28 05:54:18 UTC",17,130360,1421
"2019-02-28 05:02:26 UTC",17,130400,1419
"2019-02-28 04:10:13 UTC",19,130287,1418
"2019-02-28 03:14:18 UTC",19,130504,1419
"2019-02-28 02:41:43 UTC",18,130788,1422
"2019-02-28 01:24:12 UTC",18,130796,1422
"2019-02-28 00:49:52 UTC",18,130796,1422
"2019-02-27 23:55:40 UTC",19,130514,1419
"2019-02-27 23:04:14 UTC",19,130556,1419
"2019-02-27 22:12:08 UTC",19,130625,1417
"2019-02-27 21:38:15 UTC",19,130865,1417
"2019-02-27 20:22:15 UTC",18,130946,1417
"2019-02-27 19:47:28 UTC",18,130942,1415
"2019-02-27 18:50:43 UTC",19,131103,1414
"2019-02-27 17:55:54 UTC",18,131322,1415
"2019-02-27 17:00:52 UTC",18,131441,1416
"2019-02-27 16:28:34 UTC",18,131462,1416
"2019-02-27 15:16:01 UTC",15,131219,1422
"2019-02-27 14:41:36 UTC",16,131208,1420
"2019-02-27 13:51:06 UTC",17,131204,1418
"2019-02-27 13:00:57 UTC",18,131150,1414
"2019-02-27 12:01:27 UTC",19,131220,1414
"2019-02-27 11:27:12 UTC",19,131261,1413
"2019-02-27 10:13:07 UTC",19,131261,1413
"2019-02-27 09:37:36 UTC",18,131535,1416
"2019-02-27 08:39:48 UTC",18,131282,1414
"2019-02-27 07:47:42 UTC",19,131012,1412
"2019-02-27 06:52:18 UTC",18,131024,1413
"2019-02-27 06:18:35 UTC",17,131067,1414
"2019-02-27 05:13:12 UTC",18,131030,1415
"2019-02-27 04:41:13 UTC",18,131025,1414
"2019-02-27 03:47:06 UTC",19,131020,1412
"2019-02-27 02:54:24 UTC",19,131069,1411
"2019-02-27 01:57:27 UTC",19,131079,1411
"2019-02-27 01:27:30 UTC",19,131127,1411
