listing_datetime,unit_price,quantity,listings
"2019-03-03 00:05:02 UTC",135,33081,511
"2019-03-02 23:30:10 UTC",135,32530,510
"2019-03-02 22:34:46 UTC",131,32776,517
"2019-03-02 21:44:44 UTC",132,32827,517
"2019-03-02 20:47:29 UTC",131,33006,521
"2019-03-02 20:14:38 UTC",131,33020,519
"2019-03-02 18:57:42 UTC",126,33009,521
"2019-03-02 18:23:52 UTC",131,32814,521
"2019-03-02 17:34:40 UTC",132,32776,518
"2019-03-02 16:42:25 UTC",134,32721,510
"2019-03-02 15:48:21 UTC",139,31728,496
"2019-03-02 15:14:39 UTC",139,31660,495
"2019-03-02 14:00:15 UTC",142,31643,491
"2019-03-02 13:26:00 UTC",142,31643,490
"2019-03-02 12:33:24 UTC",142,31720,489
"2019-03-02 11:40:55 UTC",140,31723,490
"2019-03-02 10:47:39 UTC",142,31638,485
"2019-03-02 10:14:57 UTC",127,32939,541
"2019-03-02 09:07:04 UTC",129,32386,530
"2019-03-02 08:32:52 UTC",129,32384,529
"2019-03-02 07:36:55 UTC",136,32264,522
"2019-03-02 06:44:40 UTC",134,32372,529
"2019-03-02 05:46:17 UTC",134,32357,527
"2019-03-02 05:13:16 UTC",135,32350,525
"2019-03-02 03:57:40 UTC",137,32246,519
"2019-03-02 03:22:13 UTC",137,32223,518
"2019-03-02 02:26:12 UTC",137,32150,511
"2019-03-02 01:32:13 UTC",139,31999,497
"2019-03-02 00:38:27 UTC",141,31706,482
"2019-03-02 00:05:45 UTC",142,31382,476
"2019-03-01 22:47:42 UTC",142,31534,485
"2019-03-01 22:14:18 UTC",130,31711,490
"2019-03-01 21:21:31 UTC",130,31717,488
"2019-03-01 20:30:56 UTC",139,31783,490
"2019-03-01 19:31:35 UTC",137,31883,493
"2019-03-01 18:59:48 UTC",139,31867,491
"2019-03-01 17:45:36 UTC",139,31846,498
"2019-03-01 17:10:02 UTC",140,31814,494
"2019-03-01 16:18:47 UTC",128,32126,500
"2019-03-01 15:25:07 UTC",128,32085,495
"2019-03-01 14:31:55 UTC",124,31852,493
"2019-03-01 13:59:21 UTC",130,31849,492
"2019-03-01 12:43:35 UTC",137,32004,499
"2019-03-01 12:10:26 UTC",138,31997,497
"2019-03-01 11:18:58 UTC",139,31500,495
"2019-03-01 10:27:28 UTC",133,31803,507
"2019-03-01 09:33:24 UTC",133,31774,504
"2019-03-01 09:01:51 UTC",133,31774,504
"2019-03-01 07:52:33 UTC",133,31773,503
"2019-03-01 07:18:02 UTC",133,31760,502
"2019-03-01 06:23:21 UTC",137,31667,499
"2019-03-01 05:31:13 UTC",138,31636,498
"2019-03-01 04:38:06 UTC",123,31640,497
"2019-03-01 04:05:26 UTC",123,31638,496
"2019-03-01 02:50:49 UTC",135,31838,512
"2019-03-01 02:16:24 UTC",135,32001,503
"2019-03-01 01:25:03 UTC",137,31683,496
"2019-03-01 00:33:39 UTC",135,31774,504
"2019-02-28 23:39:38 UTC",136,31666,496
"2019-02-28 23:07:59 UTC",136,31588,493
"2019-02-28 21:51:34 UTC",140,31023,481
"2019-02-28 21:15:47 UTC",140,31023,481
"2019-02-28 20:16:25 UTC",140,31058,479
"2019-02-28 19:22:41 UTC",140,31135,480
"2019-02-28 18:25:09 UTC",139,31090,484
"2019-02-28 17:50:40 UTC",136,31583,488
"2019-02-28 16:32:42 UTC",119,31663,487
"2019-02-28 15:56:48 UTC",138,31270,485
"2019-02-28 15:05:22 UTC",138,31270,485
"2019-02-28 14:13:52 UTC",135,31285,486
"2019-02-28 13:17:04 UTC",138,31256,483
"2019-02-28 12:44:00 UTC",138,31316,483
"2019-02-28 11:27:36 UTC",137,31459,484
"2019-02-28 10:54:22 UTC",139,31052,480
"2019-02-28 09:59:15 UTC",143,30724,471
"2019-02-28 09:06:08 UTC",143,30713,469
"2019-02-28 08:05:31 UTC",143,31210,472
"2019-02-28 07:33:54 UTC",144,31206,470
"2019-02-28 06:29:11 UTC",142,31973,475
"2019-02-28 05:54:23 UTC",143,31960,473
"2019-02-28 05:02:47 UTC",141,32177,475
"2019-02-28 04:10:18 UTC",144,31963,472
"2019-02-28 03:14:40 UTC",142,33256,482
"2019-02-28 02:41:48 UTC",143,33224,480
"2019-02-28 01:24:33 UTC",144,33036,472
"2019-02-28 00:49:52 UTC",143,33117,473
"2019-02-27 23:56:04 UTC",116,33775,487
"2019-02-27 23:04:19 UTC",116,33772,486
"2019-02-27 22:12:24 UTC",139,33720,482
"2019-02-27 21:38:21 UTC",136,34000,488
"2019-02-27 20:22:31 UTC",138,33717,480
"2019-02-27 19:47:33 UTC",140,33446,476
"2019-02-27 18:50:59 UTC",140,33423,475
"2019-02-27 17:55:59 UTC",140,33474,474
"2019-02-27 17:01:12 UTC",130,33083,472
"2019-02-27 16:28:39 UTC",144,32824,469
"2019-02-27 15:16:22 UTC",142,33663,472
"2019-02-27 14:41:42 UTC",143,33410,470
"2019-02-27 13:51:22 UTC",140,33641,479
"2019-02-27 13:00:57 UTC",125,33715,485
"2019-02-27 12:01:43 UTC",125,33637,483
"2019-02-27 11:27:12 UTC",138,34466,498
"2019-02-27 10:13:23 UTC",139,34376,494
"2019-02-27 09:37:41 UTC",137,34949,505
"2019-02-27 08:40:04 UTC",135,35079,511
"2019-02-27 07:47:48 UTC",137,35030,508
"2019-02-27 06:52:34 UTC",137,34996,506
